description,subcategories,colors,sizes,genders
"quần dài","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[]""" 
"quần jean","""[quần jean]""","""[]""","""[]""","""[]""" 
"quần tây","""[quần tây]""","""[]""","""[]""","""[]""" 
"quần short","""[quần short]""","""[]""","""[]""","""[]""" 
"áo sơ mi","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"áo thun","""[áo thun]""","""[]""","""[]""","""[]""" 
"áo ngắn tay","""[áo thun, áo polo, áo ba lỗ]""","""[]""","""[]""","""[]""" 
"áo ba lỗ","""[áo ba lỗ]""","""[]""","""[]""","""[]""" 
"áo khoác","""[áo khoác]""","""[]""","""[]""","""[]""" 
"áo polo","""[áo polo]""","""[]""","""[]""","""[]""" 
"áo vest","""[áo vest]""","""[]""","""[]""","""[]""" 
"váy","""[váy]""","""[]""","""[]""","""[]""" 
"đồ ngủ","""[đồ ngủ]""","""[]""","""[]""","""[]""" 
"bộ đồ ngủ","""[đồ ngủ]""","""[]""","""[]""","""[]""" 
"Đồ thể thao","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ đá banh","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ đá bóng","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Đồ tập thể dục","""[đồ thể thao]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Bạn có áo nào đẹp không","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo sơ mi","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"Bạn có áo sơ mi không","""[áo sơ mi]""","""[]""","""[]""","""[]""" 
"Shop có áo nào đẹp không","""[áo thun, áo sơ mi, áo polo, áo khoác, áo ba lỗ, áo vest]""","""[]""","""[]""","""[]""" 
"Shop có quần nào đẹp không","""[quần tây, quần jean, quần short]""","""[]""","""[]""","""[]""" 
"Tôi cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác để đi dự sinh nhật","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần áo khoác để đi chơi","""[áo khoác]""","""[]""","""[]""","""[]""" 
"Tôi cần tìm áo khoác","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Có áo khoác đẹp không","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Áo khoác đẹp","""[áo khoác]""","""[]""","""[]""","""[]"""  
"Tôi cần tìm áo vest","""[áo vest]""","""[]""","""[]""","""[]"""  
"Có áo vest nào đẹp không","""[áo vest]""","""[]""","""[]""","""[]"""  
"Mùa hè này nóng quá và tôi cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[Màu lạnh]""","""[]""","""[]""" 
"Mùa hè này nóng quá và tôi cần mua quần dài để đi học ","""[quần dài, quần tây, quần jean]""","""[Màu lạnh]""","""[]""","""[]""" 
"tôi là nữ cần mua quần dài để đi dự sinh nhật","""[quần dài, quần tây, quần jean]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần mua áo khoác để đi phượt","""[áo khoác]""","""[]""","""[]""","""[]"""
"Nam cần quần tây và áo sơ mi cho buổi họp","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Con gái muốn mua quần tây để đi làm","""[quần tây]""","""[]""","""[]""","""[Nữ]"""
"Nữ muốn tìm quần tây cho công việc văn phòng","""[quần tây]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần quần tây và áo sơ mi để tham dự buổi họp quan trọng","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[]"""
"Nam muốn tìm quần tây và áo sơ mi để dự lễ kỷ niệm","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn áo khoác và quần tây cho buổi tiệc ngoài trời buổi tối","""[]""","""[ ]""","""[]""","""[]"""
"Nam cần áo sơ mi và quần tây cho buổi tiệc cưới","""[áo sơ mi, quần tây]""","""[]""","""[]""","""[Nam]"""
"Nam cần mua áo sơ mi và quần tây để đi dự hội nghị","""[áo sơ mi, quần tây]""","""[]""","""[]""","""[Nam]"""
"Nam cần áo sơ mi để đi làm","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nữ cần mua áo sơ mi trắng để đi làm","""[áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam muốn mua áo sơ mi để đi dự tiệc","""[áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn mua áo sơ mi để đi công tác","""[áo sơ mi]""","""[]""","""[]""","""[]"""
"Nữ cần mua áo sơ mi và váy để dự tiệc công ty","""[áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi là phụ nữ cần mua áo sơ mi và váy để dự tiệc","""[áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần một chiếc áo sơ mi để đi sự kiện từ thiện buổi tối","""[áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nam cần áo sơ mi để đi dự lễ cưới","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Con gái cần quần jean và áo thun để đi chơi","""[quần jean, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần quần jean và áo thun cho buổi đi dạo đêm sau tiệc","""[quần jean, áo thun]""","""[ ]""","""[]""","""[]"""
"Tôi muốn tìm áo thun và quần jean để đi chơi và tôi hơi mập","""[áo thun, quần jean]""","""[Lớn, Rất lớn]""","""[]""","""[]"""
"Tôi muốn tìm áo thun và quần jean để đi chơi","""[áo thun, quần jean]""","""[]""","""[]""","""[]"""
"Nữ cần quần jean để đi làm","""[quần jean]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi là nữ, cơ thể rất ốm cần quần jean để đi làm","""[quần jean]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[Nữ]"""
"Tôi là nữ, cơ thể hơi nhỏ con cần quần jean để đi làm","""[quần jean]""","""[]""","""[Nhỏ]""","""[Nữ]"""
"Nam cần mua quần jean để mặc khi đi chơi","""[quần jean]""","""[ ]""","""[]""","""[Nam]"""
"Nam cần áo thun và quần jean để đi dự tiệc BBQ ngoài trời","""[áo thun, quần jean]""","""[ ]""","""[]""","""[Nam]"""
"Nam cần tìm áo polo và quần short để chơi thể thao","""[áo polo, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo ba lỗ để đi biển","""[áo ba lỗ]""","""[]""","""[]""","""[]"""
"Nam cần áo polo để đi chơi","""[áo polo]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn tìm áo khoác gió để đi du lịch","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Nam muốn mua áo khoác để đi phượt","""[áo khoác]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo thun để đi dạo biển","""[áo thun]""","""[ ]""","""[]""","""[]"""
"Nam cần áo thun để mặc khi đi chơi thể thao","""[áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm quần short để mặc đi du lịch mùa hè","""[quần short]""","""[]""","""[]""","""[]"""
"Tôi muốn mua áo thun để đi dạo biển vì trời nóng","""[áo thun]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi cần áo khoác để đi leo núi","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Nữ cần áo ba lỗ để đi tập gym","""[áo ba lỗ]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần áo thun để mặc khi đi du lịch mùa hè","""[áo thun]""","""[Màu lạnh]""","""[]""","""[]"""
"Nam cần áo polo để đi chơi cuối tuần","""[áo polo]""","""[]""","""[]""","""[Nam]"""
"Nam cần mua áo khoác da để đi chơi mùa đông","""[áo khoác]""","""[Màu ấm, Màu tối]""","""[]""","""[Nam]"""
"Nam muốn mua áo polo và quần short để dự sinh nhật ngoài trời","""[áo polo, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm một chiếc áo khoác phù hợp cho sự kiện ngoài trời vào buổi tối","""[áo khoác]""","""[ ]""","""[]""","""[]"""
"Tôi cần tìm áo ba lỗ và quần short cho buổi tiệc nướng ngoài trời","""[áo ba lỗ, quần short]""","""[]""","""[]""","""[]"""
"Nam cần quần short và áo thun cho bữa tiệc sinh nhật ngoài trời","""[quần short, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn mua áo dài để đi lễ hội truyền thống","""[áo dài]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi muốn áo dài cho dịp lễ hội văn hóa","""[áo dài]""","""[]""","""[]""","""[]"""
"Nữ muốn Bộ quần áo thun để đi dạo buổi tối","""[Bộ quần áo thun]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Nam muốn mua Bộ quần áo thun để mặc ở nhà","""[Bộ quần áo thun]""","""[]""","""[]""","""[Nam]"""
"Nữ muốn áo dài cho dịp Tết","""[áo dài]""","""[Màu tươi]""","""[]""","""[Nữ]"""
"Nữ muốn mua áo dài mặc lễ khai giảng","""[áo dài]""","""[]""","""[]""","""[Nữ]"""
"Mình muốn mua bộ quần áo thun để đi dạo công viên buổi sáng","""[Bộ quần áo thun]""","""[ ]""","""[]""","""[]"""
"Nam cần quần short để đi du lịch","""[quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi cần bộ đồ ngủ thoải mái để ngủ ngon","""[đồ ngủ]""","""[ ]""","""[]""","""[]"""
"Có đồ ngủ nào mát không","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ mát để ngủ","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ mát để ngủ trong mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi muốn đồ ngủ ấm áp để mặc mùa đông","""[đồ ngủ]""","""[Màu ấm, Màu tối]""","""[lớn, rất lớn]""","""[]"""
"Con trai cần mua bộ đồ ngủ mát cho mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[Nam]"""
"Nữ muốn bộ đồ ngủ dễ thương để mặc mùa hè","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Nam cần đồ thể thao để tham gia hoạt động ngoài trời","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Tôi là con trai muốn đồ thể thao để chơi cầu lông","""[đồ thể thao]""","""[]""","""[]""","""[Nam]"""
"Mình muốn mua đồ thể thao để đi bơi","""[đồ thể thao]""","""[]""","""[trung bình]""","""[]"""
"Tôi muốn đồ thể thao nhẹ nhàng để đi tập yoga","""[đồ thể thao]""","""[  ]""","""[]""","""[]"""
"Nữ muốn đồ thể thao để đi tập gym","""[đồ thể thao]""","""[ ]""","""[]""","""[Nữ]"""
"Nữ muốn tìm một bộ váy để đi sinh nhật bạn thân","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Con gái cần mua váy để đi dự tiệc công ty","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần váy để dự lễ tốt nghiệp","""[váy]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần mua váy đi tiệc cưới","""[váy]""","""[]""","""[]""","""[]"""
"Nữ muốn tìm váy để đi dạ hội","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi muốn mua váy đi chơi biển","""[váy]""","""[]""","""[]""","""[]"""
"Nữ cần váy dạ hội để tham dự tiệc cưới","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần váy để tham gia buổi tiệc tối","""[váy]""","""[]""","""[]""","""[]"""
"Con gái cần một bộ váy đẹp để đi dự tiệc cocktail","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm váy","""[váy]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo khoác","""[Áo khoác]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo thun","""[Áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo sơ mi","""[Áo sơ mi]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần tìm áo polo","""[Áo polo]""","""[]""","""[]""","""[Nữ]"""
"Là nữ cần tìm một bộ váy","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Nam cần tìm áo sơ mi để mặc","""[Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nam cần tìm áo khoác để mặc đi ra đường","""[Áo khoác]""","""[]""","""[]""","""[Nữ]"""
"Tìm cho tôi áo khoác và quần tây","""[Áo khoác, Quần tây]""","""[]""","""[]""","""[]"""
"Tìm cho tôi áo khoác và áo sơ mi","""[Áo khoác, Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tìm cho tôi áo khoác và áo sơ mi cho nam","""[Áo khoác, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tìm cho tôi quần tây và áo sơ mi cho nam","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn tìm quần tây và áo sơ mi cho nam","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Bạn có quần tây và áo sơ mi cho nam không","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Quần tây và áo sơ mi","""[Quần tây, Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo trắng đi học","""[Áo sơ mi]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo trắng đi học cho nữ","""[Áo sơ mi]""","""[]""","""[]""","""[nữ]"""
"Tôi cần tìm áo vest áo sơ mi và quần tây để đi đám cưới","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Tôi cần tìm áo vest áo sơ mi và quần tây","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Áo vest áo sơ mi và quần tây","""[Áo vest, áo sơ mi, quần tây]""","""[]""","""[]""","""[]"""
"Là con trai tôi hay ra ngoài vận động thì mặc gì","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Tôi là nam cần mua gì để đi dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Mình là nam cần mua gì để đi dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Là nam cần mua gì để đi dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Mua đồ cho cháu tôi vào sinh nhật nó thì mua gì","""[Đồ thể thao, quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Mua đồ cho cháu gái vào sinh nhật nó thì mua gì","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Trang phục cho nam dự sinh nhật ở nhà hàng","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[Nam]"""
"Tôi cần đi dự sinh nhật bạn thân","""[váy, áo thun, quần tây, áo polo]""","""[ ]""","""[]""","""[]"""
"Tôi cần đồ để dự tiệc sinh nhật ngoài trời vào ban ngày","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[Màu lạnh]""","""[]""","""[]"""
"Nữ cần trang phục dự tiệc sinh nhật","""[váy, áo sơ mi]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn trang phục lịch sự cho tiệc sinh nhật và mình hơi ốm","""[quần tây, áo sơ mi]""","""[]""","""[Nhỏ]""","""[Nam]"""
"Nam muốn trang phục lịch sự cho tiệc sinh nhật và mình hơi mập","""[quần tây, áo sơ mi]""","""[]""","""[Trung bình, Lớn]""","""[Nam]"""
"Nam muốn đồ sặc sỡ để dự tiệc sinh nhật","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nam]"""
"tôi cần mặc gì đó đi dự tiệc cưới","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi,váy]""","""[]""","""[]""","""[]"""
"tôi hơi mập cần tìm gì đó phù hợp mặc để đi dự tiệc cưới","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[Trung bình,Lớn]""","""[]"""
"Đi ăn đám cưới nên mặc gì đây","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy, áo dài]""","""[]""","""[]""","""[]"""
"Nam đi ăn đám cưới mặc gì","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"tôi là nam đi ăn đám cưới không biết mặc gì","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi đi chơi nên mặc gì đây","""[]""","""[]""","""[]""","""[]"""
"Mùa hè nóng quá không biết đi chơi nên mặc gì","""[]""","""[màu lạnh]""","""[]""","""[]"""
"Tôi tính đi chơi biển vào mùa hè này bạn thể đề xuất tôi nên mặc gì không","""[Quần short, áo thun, váy]""","""[màu lạnh]""","""[]""","""[]"""
"Đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[]"""
"Tôi hơi mập mà chuẩn bị đi học không biết mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[Trung bình,Lớn]""","""[]"""
"Nữ đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nữ]"""
"Tôi là nữ đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nữ]"""
"Nam đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nam]"""
"Trang phục nữ để đi dạo phố","""[váy, áo thun, quần short]""","""[]""","""[]""","""[Nữ]"""
"Trang phục mùa hè cho nữ","""[váy, áo ba lỗ, quần short, áo thun]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Trang phục mùa đông cho nam","""[áo khoác, quần dài]""","""[Màu ấm, Màu tối]""","""[]""","""[Nam]"""
"Trang phục thể thao cho nữ","""[Đồ thể thao]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần chuẩn bị trang phục đi đám cưới","""[váy, áo dài, quần tây]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn tìm trang phục đi hội nghị công ty","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi sẽ đi dự tiệc cuối năm","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nữ cần mặc trang phục để tham dự buổi họp quan trọng","""[áo sơ mi, quần tây, váy]""","""[]""","""[]""","""[Nữ]"""
"Tôi cần một bộ đồ cho buổi chụp ảnh cưới của bạn thân","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Nam cần trang phục đi ăn tối tại nhà hàng sang trọng","""[quần tây, áo sơ mi, áo vest]""","""[ ]""","""[]""","""[Nam]"""
"Tôi đang tìm đồ để đi chơi ngoài trời với bạn bè","""[quần short, áo thun, áo ba lỗ]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục để đi du lịch biển","""[váy, áo thun, quần short, áo ba lỗ]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục thoải mái để đi dã ngoại cuối tuần","""[quần short, áo thun, áo polo]""","""[]""","""[]""","""[]"""
"Nam cần đồ thoải mái để đi xem bóng đá với bạn","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi cần trang phục để đi dạ hội từ thiện","""[váy, quần tây, áo sơ mi]""","""[]""","""[]""","""[]"""
"Nam muốn có trang phục lịch sự để gặp gỡ đối tác","""[quần tây, áo sơ mi, áo vest]""","""[ ]""","""[]""","""[Nam]"""
"Con gái cần trang phục đẹp cho buổi lễ tốt nghiệp","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi sẽ đi dã ngoại cùng đồng nghiệp","""[quần short, áo thun, áo polo]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục nhẹ nhàng cho buổi đi cà phê","""[váy, áo thun, quần dài]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn đồ thoải mái để đi dạo phố","""[quần short, áo thun]""","""[]""","""[]""","""[Nam]"""
"Trang phục cho bữa tiệc tân niên tại công ty","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi cần trang phục để đi sự kiện ngoài trời vào mùa hè","""[quần short, áo thun, áo polo]""","""[Màu lạnh]""","""[]""","""[]"""
"Trang phục lịch sự để đi gặp mặt gia đình người yêu","""[quần tây, áo polo,áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi sẽ đi gặp lại bạn bè lâu năm","""[quần jean, quần tây,áo thun, áo polo, váy]""","""[ ]""","""[]""","""[]"""
"Nữ muốn có trang phục thoải mái cho buổi dã ngoại","""[quần short, áo thun, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục phù hợp cho buổi thuyết trình","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nam cần tìm trang phục thoải mái để đi xem phim","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn tìm trang phục phù hợp để đi dạo phố","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
