description,subcategories,colors,sizes,genders
"Nữ muốn chuẩn bị trang phục cho buổi gặp gỡ đối tác","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần mặc gì để đi thăm họ hàng vào cuối tuần","""[quần dài, áo thun,váy]""","""[ ]""","""[]""","""[]"""
"Nam muốn có trang phục phù hợp để tham gia lớp học yoga","""[quần short, áo ba lỗ, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi sẽ đi chơi cùng bạn vào buổi tối","""[quần jean, quần tây, áo thun]""","""[ ]""","""[]""","""[]"""
"Trang phục để đi biển mùa hè","""[quần short, áo ba lỗ, váy]""","""[Màu lạnh]""","""[]""","""[]"""
"Nữ cần trang phục phù hợp để gặp gia đình bạn trai","""[váy, quần tây, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi bộ trong công viên","""[quần short, áo thun, áo ba lỗ]""","""[]""","""[]""","""[Nam]"""
"tôi là con gái muốn có đồ thoải mái để đi mua sắm","""[quần jean, quần short, áo thun, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi sẽ đi chụp ảnh kỷ yếu với bạn bè","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Trang phục để dự buổi hòa nhạc ngoài trời","""[quần jean, quần dài, áo thun,]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục để tham gia buổi họp mặt lớp","""[váy, quần tây, áo thun]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục để đi gặp mặt đối tác vào buổi tối","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Tôi cần đồ thoải mái để đi du lịch","""[áo thun, quần short, áo ba lỗ]""","""[]""","""[]""","""[]"""
"Tôi cần trang phục đi dự hội nghị","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục cho buổi gặp mặt công ty","""[váy, áo sơ mi, quần tây]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục để tham gia hội nghị","""[quần tây, áo sơ mi, áo polo]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn mua đồ phù hợp để đi dã ngoại","""[quần short, áo thun, áo ba lỗ, váy]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục thoải mái cho buổi đi chơi ngoài trời","""[váy, quần short, áo thun, áo ba lỗ]""","""[ ]""","""[]""","""[Nữ]"""
"Nam muốn tìm đồ phù hợp để đi phượt","""[quần dài, quần short, áo thun, áo khoác]""","""[]""","""[]""","""[Nam]"""
"Tôi cần trang phục đẹp cho buổi tiệc","""[quần tây, áo sơ mi, áo polo, váy]""","""[ ]""","""[]""","""[]"""
"Nam muốn trang phục lịch sự để dự tiệc","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thoải mái để đi biển","""[quần short, áo thun, áo ba lỗ, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ cho chuyến du lịch mùa hè","""[váy, quần short, áo thun, áo ba lỗ]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn trang phục cho kỳ nghỉ hè","""[quần short, áo thun, áo ba lỗ]""","""[ ]""","""[]""","""[Nam]"""
"Tôi sẽ đi họp mặt lớp vào cuối tuần","""[quần tây, áo thun, váy, áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục để gặp gỡ bạn bè lâu ngày","""[váy, quần jean, áo thun]""","""[ ]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để gặp bạn","""[quần jean, áo thun, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn trang phục phù hợp để đi xem phim","""[quần jean, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ thoải mái cho chuyến đi chơi cuối tuần","""[váy, quần short, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần đồ để đi xem trận bóng cùng bạn","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi sẽ đi dự tiệc cưới vào cuối tuần","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục dự tiệc cưới","""[váy, áo sơ mi]""","""[ ]""","""[]""","""[Nữ]"""
"Nam cần trang phục để dự tiệc cưới","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thoải mái để dạo phố, vóc dáng của tôi hơi mập","""[quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần trang phục dễ thương để đi chơi, vóc dáng hơi ốm","""[váy, quần jean, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục giản dị cho buổi gặp mặt, mình hơi mập","""[quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi muốn mua trang phục năng động cho kỳ nghỉ, vóc dáng hơi gầy","""[quần short, áo thun, áo ba lỗ]""","""[  ]""","""[]""","""[]"""
"Tôi thích trang phục sặc sỡ để dạo phố buổi tối","""[quần jean, áo thun, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ muốn trang phục thoải mái để đi biển, vóc dáng hơi đầy đặn và thích sặc sỡ","""[váy, quần short, áo ba lỗ]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi dã ngoại, mình hơi ốm","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi cần đồ phù hợp để dự tiệc, thích phong cách sặc sỡ","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ dự tiệc tối, mình hơi mập và thích sặc sỡ","""[váy, áo sơ mi]""","""[]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục để đi tiệc cưới, thích màu sặc sỡ","""[quần tây, áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nam]"""
"Tôi muốn trang phục gọn nhẹ cho buổi xem phim, vóc dáng hơi mập","""[quần jean, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần đồ thoải mái cho buổi đi dạo, mình hơi mập","""[váy, quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục nhẹ nhàng để đi xem phim, vóc dáng ốm","""[quần jean, áo thun]""","""[, ]""","""[]""","""[Nam]"""
"Mình thích trang phục với màu sắc nổi bật cho buổi họp lớp","""[quần jean, áo thun, váy, áo sơ mi]""","""[]""","""[]""","""[]"""
"Nữ muốn đồ dễ thương để gặp bạn bè, thích ","""[váy, quần jean, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam cần trang phục đơn giản cho buổi gặp mặt, mình hơi gầy","""[quần jean, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thời trang để đi du lịch, vóc dáng hơi đầy đặn","""[quần short, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần đồ thoải mái cho chuyến đi biển, thích màu sặc sỡ","""[váy, quần short, áo ba lỗ]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam muốn đồ năng động cho kỳ nghỉ hè, vóc dáng hơi mập","""[quần short, áo thun, áo ba lỗ]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi cần trang phục để đi học, vóc dáng ốm và thích sặc sỡ","""[quần jean, áo thun, áo polo]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục dự tiệc tối, vóc dáng hơi mập","""[váy, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Tôi muốn đồ đi xem triển lãm nghệ thuật, vóc dáng hơi ốm","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Nữ muốn trang phục để đi dự tiệc tối, mình mập và thích màu nổi bật","""[váy, áo sơ mi]""","""[]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi gặp đối tác, vóc dáng hơi mập","""[quần tây, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Mình cần đồ đi dự lễ tốt nghiệp, mình hơi mập","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần trang phục để dự lễ tốt nghiệp, vóc dáng hơi đầy đặn","""[váy, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam muốn đồ để chụp ảnh ngoài trời, thích phong cách sặc sỡ","""[quần jean, áo thun, áo ba lỗ]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn trang phục dạo biển, mình hơi gầy và thích ","""[quần short, áo thun, áo ba lỗ]""","""[ ]""","""[]""","""[]"""
"Nữ muốn đồ đi du lịch, thích phong cách sặc sỡ","""[váy, quần short, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần đồ để leo núi, vóc dáng mập","""[quần short, áo thun]""","""[]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi muốn trang phục thanh lịch để tham dự hội thảo","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nữ muốn đồ năng động để chơi thể thao","""[quần short, áo thun, áo ba lỗ]""","""[  ]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi câu cá","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn đồ lịch sự cho buổi gặp mặt đầu tiên, thích phong cách nổi bật","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ dự hội nghị","""[váy, áo sơ mi, quần tây]""","""[ ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục trang trọng cho hội nghị","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục để tham gia lễ hội mùa hè","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ sặc sỡ để đi dự hội chợ","""[váy, quần short, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục đơn giản để đi cắm trại","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Mình muốn trang phục nổi bật để đi dự sự kiện cuối năm","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ muốn đồ trang trọng cho sự kiện cuối năm, mình hơi mập","""[váy, áo sơ mi]""","""[Màu trung tính, Màu tối]""","""[lớn, rất lớn]""","""[Nữ]"""
"Tôi muốn trang phục đơn giản cho tiệc gia đình cuối tuần","""[quần jean, áo thun, váy]""","""[  ]""","""[]""","""[]"""
"Nữ muốn đồ thoải mái để đi mua sắm cuối tuần","""[váy, quần short, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam cần trang phục năng động để đi chơi bóng rổ","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục nổi bật để dự lễ khai giảng","""[quần tây, áo sơ mi, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ cần trang phục trang nhã để dự lễ khai giảng","""[váy, áo sơ mi, quần tây]""","""[Màu tối, màu trung tính]""","""[]""","""[Nữ]"""
"Nam cần trang phục đơn giản để dự lễ khai giảng","""[quần tây, áo sơ mi]""","""[Màu tối, màu trung tính]""","""[]""","""[Nam]"""
"Tôi muốn trang phục sặc sỡ để tham gia lễ hội âm nhạc","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nữ muốn đồ dễ thương để đi xem phim","""[váy, quần jean, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục thoải mái cho buổi xem phim","""[quần jean, áo thun]""","""[]""","""[]""","""[Nam]"""
"Mình muốn trang phục để đi mua sắm, vóc dáng hơi mập","""[quần jean, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Đội bóng của tôi chuẩn bị đá banh nên mua gì đây","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Đá banh không biết mua gì mặc đây đây","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Tôi được đi đá bóng bạn có đề xuất gì cho tôi không","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Tôi là nam được trường đi đá bóng bạn có đề xuất gì cho tôi không","""[đồ thể thao]""","""[]""","""[]""","""[Nam]"""
"Tôi mấy nay ngủ cảm giác nóng trong người nên mặc gì đây","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi cần đồ thoáng mát để mặc ở nhà","""[Bộ quần áo thun, đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"con trai muốn mua đồ tập để chạy bộ","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Tôi chuẩn bị đi thi đấu bóng chuyền, mua gì đây","""[đồ thể thao]""","""[ ]""","""[]""","""[]"""
"Tôi cần bộ đồ dài thun thoải mái để làm việc ở nhà","""[Bộ quần áo thun]""","""[Màu lạnh]""","""[]""","""[]"""
"Thời tiết dạo này nóng và tôi cần đi ra ngoài nhiều bạn tư vấn cho tôi vài bộ đi","""[Áo khoác, quần dài]""","""[Màu lạnh]""","""[]""","""[]"""
"Bạn có đồ ngủ không","""[Đồ ngủ]""","""[]""","""[]""","""[]"""
"Tôi năm nay cũng lớn tuổi rồi bạn có thể đề xuất sản phẩm nào hợp để mặc đi họp không","""[Quần tây, Áo sơ mi]""","""[Màu trung tính, Màu tối]""","""[]""","""[]"""
"Ngoại hình tôi hơi mập không biết mặc áo gì cho thỏa mái đây","""[Áo thun, Áo ba lỗ]""","""[]""","""[Trung bình, Lớn]""","""[]"""
"Mình có ngoại hình quá cở thì nên mặc áo gì cho đẹp","""[Áo thun, Áo polo]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tôi mập quá vậy nên chọn quần có kích thước nào hợp lý đây","""[Quần short, quần dài, quần jean]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tôi già rồi nên mặc áo màu gì đây","""[Áo sơ mi, áo thun, áo polo]""","""[Màu trung tính, Màu tối]""","""[]""","""[]"""
"Bạn tìm giúp tôi áo màu nào nỗi bậc đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm giúp tôi áo màu nào nỗi bậc đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho tôi áo nào có màu tươi sáng đi","""[Áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho váy nào có màu sáng đi","""[Váy]""","""[Màu sáng]""","""[]""","""[]"""
"tìm cho váy nào có màu tối đi","""[Váy]""","""[Màu tối]""","""[]""","""[]"""
"tìm cho váy nào phù hợp với phụ nữ có gia đình đi","""[Váy]""","""[Màu tối, màu trung tính]""","""[]""","""[]"""
"tìm cho áo nào phù hợp với phụ nữ có gia đình đi","""[áo khoác, áo polo, áo sơ mi]""","""[Màu tối, màu trung tính]""","""[]""","""[]"""
"Tìm cho tôi áo nào phù hợp với người có chiều cao tốt","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm cho tôi áo nào phù hợp với người có cận nặng lớn","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm áo nào phù hợp với người có cận nặng lớn","""[áo khoác, áo polo, áo sơ mi]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm quần phù hợp với người có cận nặng lớn","""[quần jean, quần tây, quần dài]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"quần nào là phù hợp với người có cận nặng lớn","""[quần jean, quần tây, quần dài]""","""[]""","""[Lớn,Rất lớn]""","""[]"""
"Tìm cho tôi áo phù hợp cho người gầy đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[nhỏ]""","""[]"""
"Tìm cho tôi áo phù hợp cho người rất gầy đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ]""","""[]"""
"Tìm cho tôi áo phù hợp cho người cực kỳ gầy","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ]""","""[]"""
"Tôi vốn dĩ nhỏ con nên khó khăn trong việc tìm áo bạn giúp tôi được chứ","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ, nhỏ]""","""[]"""
"Thấp bé quá nên chọn đồ khó khăn do vậy hãy tìm giúp tôi áo nào phù hợp đi","""[áo sơ mi, áo thun, áo polo]""","""[]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và có màu tối","""[áo sơ mi, áo thun, áo polo]""","""[Màu tối]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và phù hợp cho người trưởng thành","""[áo sơ mi, áo thun, áo polo]""","""[Màu tối, màu trung tính]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và có màu sắc sặc sỡ","""[áo sơ mi, áo thun, áo polo]""","""[Màu sáng]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tìm áo cho người có vóc dáng nhỏ và phù hợp mặc vào mùa đông","""[áo khoác]""","""[Màu ấm, màu tối]""","""[rất nhỏ, nhỏ]""","""[]"""
"Tôi là một người mẹ hay lo lắng cho con trai mai là ngày nhập học cho nó không biết mua áo gì để học đây","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi giảng viên không biết tìm áo gì là thích hợp để đi dạy đây","""[áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi có đứa con gái không biết mua áo gì là phù hợp vì con tôi khá thấp bé","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[rất nhỏ, nhỏ]""","""[Nam]"""
"Tìm giúp tôi áo dành cho người có thân hình vừa phải thôi không quá to lớn","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[Trung bình]""","""[Nam]"""
"Tìm giúp tôi áo dành cho người có thân hình ốm yếu và nhỏ con","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[rất nhỏ, nhỏ]""","""[Nam]"""
"Tôi là người hơi to con nên mặc áo có kích thước nào cho vừa","""[áo sơ mi, áo polo, áo thun]""","""[]""","""[Trung bình, Lớn]""","""[Nam]"""
"Là bạn trai nên tôi phải mua quà cho người yêu mà không biết chọn gì là hợp lý cho cô ấy","""[Váy]""","""[]""","""[]""","""[Nữ]"""
"Dáng tôi hơi bự tìm cho tôi áo nào vừa kích cở đi","""[Áo thun, Áo sơ mi, Áo polo]""","""[]""","""[Trung bình, Lớn]""","""[]"""
"Tôi mập mạp có quần tây nào vừa người tôi không","""[Quần tây]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tôi hơi mập mạp và thích màu sắc tối có quần tây nào phù hợp không","""[Quần tây]""","""[Màu tối]""","""[Lớn, Rất lớn]""","""[]"""
"Tìm quần tây có kích thước lớn","""[Quần tây]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Tìm quần tây có kích thước vừa phải","""[Quần tây]""","""[]""","""[Trung bình]""","""[]"""
"Tìm quần tây có kích thước nhỏ","""[Quần tây]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tìm áo khoác cho người nhỏ con","""[Áo khoác]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tìm áo sơ mi cho người nhỏ con","""[Áo sơ mi]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tôi là một người gầy, muốn tìm áo để che bớt thân hình, có loại nào hợp không?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Rất nhỏ, Nhỏ]""","""[]"""
"Tôi là một người gầy nhưng lại thích áo có kích thước lớn tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Tôi là một người mập nhưng lại thích áo có kích thước nhỏ tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Nhỏ]""","""[]"""
"Tôi là một người mập nhưng lại thích áo có kích thước nhỏ tìm giúp tôi?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Nhỏ]""","""[]"""
"Tôi chuẩn bị đi du lịch, muốn tìm áo phù hợp với dáng người tròn trịa của mình. Có gợi ý nào không?","""[Áo sơ mi, áo polo, áo thun]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Con gái tôi sắp dự lễ hội trường, nên chọn váy kiểu gì cho phù hợp với vóc dáng nhỏ nhắn của nó?","""[Váy]""","""[]""","""[Nhỏ, rất nhỏ]""","""[Nữ]"""
"Tôi là người có vóc dáng tầm trung nên tìm loại áo thun có kích thước nào là phù hợp?","""[Áo thun]""","""[]""","""[Trung bình]""","""[]"""
"Tôi cần tìm áo khoác cho con gái nhỏ con của mình để mặc vào mùa đông. Có gợi ý nào không?","""[Áo khoác]""","""[Màu ấm Màu tối]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Sinh nhật của cháu gái tôi nên mua áo gì cho con bé vì nó có dáng hơi nhỏ","""[Áo thun]""","""[]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Tôi cần tìm đồ thể thao cho người có vóc dáng nhỏ","""[Đồ thể thao]""","""[]""","""[Nhỏ rất nhỏ]""","""[]"""
"Tôi là vận động viên nữ có dáng người nhỏ tìm đồ thể thao phù hợp cho tôi đi","""[Đồ thể thao]""","""[]""","""[Nhỏ rất nhỏ]""","""[Nữ]"""
"Vận động viên nam có thân hình to lớn nên chọn đồ nào để đi chạy","""[Đồ thể thao]""","""[]""","""[Lớn, Rất lớn]""","""[Nam]"""